t_sec,x1_load,x2_load,x3_load,x4_load,x5_load,x6_diff,y_lower_t-1,y_upper_t-1
7800.0,1.736111,2.091652,2.231626,1.808449,1.3784,142.89639,1445.57,1423.914
7860.0,1.731048,2.08478,2.225116,1.805556,1.372251,142.89643999999998,1445.668,1423.914
7920.0,1.725622,2.078631,2.218967,1.801939,1.364656,142.88191,1445.57,1423.914
7980.0,1.720197,2.072483,2.212457,1.799045,1.358145,142.91085,1445.57,1423.914
8040.0,1.71441,2.066334,2.206308,1.79579,1.351997,142.91089,1445.57,1423.914
8100.0,1.708984,2.060909,2.200159,1.792535,1.345124,142.8819,1445.57,1423.816
8160.0,1.703559,2.055845,2.194372,1.78928,1.338614,142.85303,1445.57,1423.816
8220.0,1.698495,2.050781,2.18967,1.786024,1.331742,142.88197000000002,1445.57,1423.816
8280.0,1.693432,2.047164,2.183883,1.783131,1.32487,142.80956,1445.57,1423.816
8340.0,1.615668,1.964337,2.149884,1.852937,1.411675,142.04288000000003,1445.57,1423.816
8400.0,1.80013,1.903573,2.085865,1.959997,1.550564,177.58967,1445.57,1423.621
8460.0,1.461227,1.745153,1.867766,1.691262,1.22866,139.62677000000002,1485.219,1461.902
8520.0,1.549841,1.847512,2.063802,1.785663,1.301722,136.50177000000002,1559.242,1536.512
8580.0,1.438079,1.739728,1.931424,1.77445,1.272425,142.44790999999998,1633.461,1611.414
8640.0,1.482567,1.82798,1.798322,1.659795,1.210214,125.04345,1708.754,1685.438
8700.0,1.492694,1.76577,1.990379,1.761068,1.286531,128.18291,1783.656,1761.609
8760.0,1.580946,1.961082,1.879702,1.794705,1.395399,143.02664000000001,1858.949,1836.609
8820.0,1.697049,2.107205,2.29239,1.957465,1.451461,150.7089,1934.047,1911.414
8880.0,1.649667,2.040292,1.89634,1.782769,1.380208,148.68348,2007.875,1984.559
8940.0,1.821832,2.216797,2.335793,1.878255,1.494502,148.36511,2053.773,2031.043
