t_sec,x1_load,x2_load,x3_load,x4_load,x5_load,x6_diff,y_lower_t-1,y_upper_t-1,y_lower_t-2,y_upper_t-2,y_lower_t-3,y_upper_t-3,dt_current,dt_prev,dt_prev2,y_lower,y_upper,C组推进压力,E组推进压力
37320.0,1.737558,2.090205,2.281539,1.820023,1.400825,130.54109,1968.715,1905.945,1898.598,1833.582,1827.992,1763.172,60.0,60.0,60.0,2040.199,1976.648,185.3154,54.77431
37380.0,1.724537,2.073568,2.316623,1.890553,1.46629,123.26384999999999,2040.199,1976.648,1968.715,1905.945,1898.598,1833.582,60.0,60.0,60.0,2078.188,2015.613,179.7164,56.45255
42180.0,1.563947,1.905744,2.16616,1.732133,1.315827,136.32811999999998,749.1836,714.6368,679.8477,644.7148,618.8125,585.0469,60.0,60.0,60.0,819.8868,784.9492,197.4971,61.16898
42240.0,1.647135,2.040654,2.204138,1.688368,1.285084,139.56884,819.8868,784.9492,749.1836,714.6368,679.8477,644.7148,60.0,60.0,60.0,890.1016,854.9688,201.4612,61.89236
42300.0,1.67173,1.981698,2.164714,1.80447,1.400101,141.81130000000002,890.1016,854.9688,819.8868,784.9492,749.1836,714.6368,60.0,60.0,60.0,960.4141,925.3789,204.3547,62.5434
42360.0,1.82147,2.16616,2.365451,1.820385,1.386357,118.43174,960.4141,925.3789,890.1016,854.9688,819.8868,784.9492,60.0,60.0,60.0,996.4492,963.0742,184.4763,66.04456
42420.0,1.773003,2.08478,2.259838,1.922743,1.469908,144.84955000000002,996.4492,963.0742,960.4141,925.3789,890.1016,854.9688,60.0,60.0,60.0,1064.223,1030.066,202.9514,58.10185
42480.0,1.785663,2.13831,2.360388,1.856554,1.413122,142.15854000000002,1064.223,1030.066,996.4492,963.0742,960.4141,925.3789,60.0,60.0,60.0,1132.875,1099.207,200.8391,58.68056
42540.0,1.76577,2.098886,2.316623,1.957104,1.539352,152.14117,1132.875,1099.207,1064.223,1030.066,996.4492,963.0742,60.0,60.0,60.0,1200.063,1166.395,210.923,58.78183
42600.0,1.814236,2.143012,2.338686,1.876447,1.441334,140.68285,1200.063,1166.395,1132.875,1099.207,1064.223,1030.066,60.0,60.0,60.0,1268.031,1234.852,206.5538,65.87095
